post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
42603817,https://batdongsan.com.vn/ban-can-ho-chung-cu-the-origami-vinhomes-grand-park-phuong-long-binh-sg-tp-ho-chi-minh/duy-nhat-1pn-1-2-35-ty-47m2-view-vuon-nhat-full-noi-that-bao-het-huong-dong-nam-pr42603817,29/05/2026,Tin VIP Kim Cương,False,Nguyễn Đăng Khoa,Duy nhất căn 3PN Origami view vườn Nhật giá 3.72 tỷ/81 m2 ký trực tiếp CĐT - TT giãn 210 ngày,,3720.0,45.9259,81.0,,,3.0,2.0,,,Đông - Nam,,,,"Hồ Chí Minh, Long Bình, Căn hộ chung cư tại The Origami - Vinhomes Grand Park",,Hồ Chí Minh,Long Bình,Căn hộ chung cư tại The Origami - Vinhomes Grand Park,Có sổ đỏ ( sử dụng chung),Đầy đủ.,False,True,False,True,False,,True,False,True,,2026-05-29 11:00:22,can_ho_hcm
45759285,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-vinhomes-green-paradise-xa-can-gio-tp-ho-chi-minh/suat-noi-bo-ck-22-pho-10-ty-villas-17-ty-hang-truc-tiep-c-t-pr45759285,19/05/2026,Tin VIP Kim Cương,False,Ms Thương Vinhomes,"Suất nội bộ Vinhomes Cần Giờ, CK 22%, nhà phố 10 tỷ/căn, villas 17 tỷ/căn. Giỏ hàng trực tiếp CĐT",,10000.0,55.5556,180.0,,,,,,,,,,,"Hồ Chí Minh, Cần Giờ, Nhà biệt thự, liền kề tại Vinhomes Green Paradise",,Hồ Chí Minh,Cần Giờ,"Nhà biệt thự, liền kề tại Vinhomes Green Paradise",,,False,False,False,False,False,,False,False,True,,2026-05-29 11:00:52,can_ho_hcm
45758630,https://batdongsan.com.vn/ban-can-ho-chung-cu-vlasta-premier-phu-thuan-phuong-phu-thuan-tp-ho-chi-minh/vi-nhan-sinh-10-ky-h-mb-chiet-khau-en-11-mien-phi-qlvh-3-nam-pr45758630,29/05/2026,Tin VIP Kim Cương,False,T&a Corp,Căn hộ vị nhân sinh Vlasta Premier chỉ 10% ký HĐMB chiết khấu đến 11% miễn phí QLVH 3 năm,,,,50.0,,,1.0,1.0,,,,,,,"Hồ Chí Minh, Phú Thuận, Căn hộ chung cư tại Vlasta Premier Phú Thuận",,Hồ Chí Minh,Phú Thuận,Căn hộ chung cư tại Vlasta Premier Phú Thuận,,Đầy đủ,False,True,False,False,False,,True,True,True,,2026-05-29 11:01:09,can_ho_hcm
45770643,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-vinhomes-saigon-park-xa-xuan-thoi-son-tp-ho-chi-minh/chinh-thuc-nhan-booking-mo-ban-ot-au-pho-hoc-mon-gia-tot-lh-pr45770643,21/05/2026,Tin VIP Kim Cương,False,Long Nhật Bđs,Chính thức nhận booking mở bán đợt đầu nhà phố Vinhomes SaiGon Park Hóc Môn giá tốt. LH0906 336 ***,,5000.0,100.0,50.0,,4.0,3.0,3.0,,,Đông - Bắc,Đông - Nam,,,"Hồ Chí Minh, Xuân Thới Sơn, Nhà biệt thự, liền kề tại Vinhomes Saigon Park",,Hồ Chí Minh,Xuân Thới Sơn,"Nhà biệt thự, liền kề tại Vinhomes Saigon Park",Sổ đỏ/ Sổ hồng,Không nội thất,False,False,False,False,False,,False,False,True,,2026-05-29 11:01:21,can_ho_hcm
45818645,https://batdongsan.com.vn/ban-can-ho-chung-cu-vinhomes-central-park-phuong-thanh-my-tay-tp-ho-chi-minh/ban-ch-2pn-80m2-landmark-5-vhcp-binh-1-phut-en-landmark-81-vincom-metro-view-song-pr45818645,29/05/2026,Tin VIP Kim Cương,False,Công Ty Tnhh Thương Mại Hoàng Quốc Tuấn,"BÁN CH 2PN 80m2 LANDMARK 5 - VHCP BÌNH THẠNH - 1 PHÚT ĐẾN LANDMARK 81, VINCOM, METRO, VIEW SÔNG",,11200.0,140.0,80.0,,,2.0,2.0,,,Đông - Nam,Tây - Bắc,,,"Hồ Chí Minh, Thạnh Mỹ Tây, Căn hộ chung cư tại Vinhomes Central Park",,Hồ Chí Minh,Thạnh Mỹ Tây,Căn hộ chung cư tại Vinhomes Central Park,Sổ đỏ/ Sổ hồng,Đầy đủ,False,True,False,True,False,,True,True,True,,2026-05-29 11:01:36,can_ho_hcm
45591301,https://batdongsan.com.vn/ban-can-ho-chung-cu-the-global-city-phuong-binh-trung-tp-ho-chi-minh/hang-ep-masteri-cosmo-central-gio-a-dang-phu-hop-voi-moi-nhu-cau-tu-van-chon-ung-can-pr45591301,20/05/2026,Tin VIP Kim Cương,False,Cao Quốc Cường,"Giỏ hàng The Global City giá tốt - 1PN, 2PN, 3PN, 4PN, giá từ 5.08 tỷ, căn đẹp cập nhật liên tục",,7620.0,101.6,75.0,,,2.0,2.0,,,Đông - Nam,Tây - Bắc,,,"Hồ Chí Minh, Bình Trưng, Căn hộ chung cư tại The Global City",,Hồ Chí Minh,Bình Trưng,Căn hộ chung cư tại The Global City,Hợp đồng mua bán,,False,True,False,False,False,,True,False,True,,2026-05-29 11:01:50,can_ho_hcm
45738171,https://batdongsan.com.vn/ban-can-ho-chung-cu-vlasta-premier-phu-thuan-phuong-phu-thuan-tp-ho-chi-minh/q7-thanh-toan-20-nhan-nha-booking-nhan-ck-len-en-13-htls-0-mien-phi-ql-3-nam-pr45738171,15/05/2026,Tin VIP Kim Cương,False,Nhật Lan,"Vlasta Premier Q7 thanh toán 20% nhận nhà booking nhận ck đến 13% ++ , HTLS 0% miễn phí QL 3 năm",,3700.0,71.1538,52.0,,,1.0,1.0,,,,,,,"Hồ Chí Minh, Phú Thuận, Căn hộ chung cư tại Vlasta Premier Phú Thuận",,Hồ Chí Minh,Phú Thuận,Căn hộ chung cư tại Vlasta Premier Phú Thuận,,,False,False,False,False,False,,False,False,True,,2026-05-29 11:02:10,can_ho_hcm
40630304,https://batdongsan.com.vn/ban-can-ho-chung-cu-can-ho-d-aqua-phuong-phu-dinh-tp-ho-chi-minh/ban-nhanh-2-1pn-48m2-2-5-ty-54m2-2pn-1wc-bang-gia-hd-2-7-ty-view-q-1-lh-pr40630304,29/05/2026,Tin VIP Kim Cương,False,Lê Hoàng Đảm,"Em Đảm cập nhật giỏ hàng D - Aqua 5/2026 1PN 49m2 3.3 tỷ, 54m2 2PN 3.7 tỷ, 68m2 4.35 tỷ.0906 435 ***",,3300.0,67.3469,49.0,,,1.0,1.0,,,,,,,"Hồ Chí Minh, Phú Định, Căn hộ chung cư tại Căn hộ D-Aqua",,Hồ Chí Minh,Phú Định,Căn hộ chung cư tại Căn hộ D-Aqua,Hợp đồng mua bán,,False,False,False,False,False,,False,False,True,,2026-05-29 11:02:25,can_ho_hcm
45785289,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-vinhomes-green-paradise-xa-can-gio-tp-ho-chi-minh/suat-ngoai-giao-hang-75m2-300m2-gia-tu-9-9-ty-pho-gio-pr45785289,23/05/2026,Tin VIP Kim Cương,False,Bùi Tuấn Tài,"Suất ngoại giao! Giỏ hàng 75m2 - 300m2 giá chỉ từ 9,9 tỷ biệt thự, nhà phố liền kề Cần Giờ",,9900.0,132.0,75.0,,,,,,,,,,,"Hồ Chí Minh, Cần Giờ, Nhà biệt thự, liền kề tại Vinhomes Green Paradise",,Hồ Chí Minh,Cần Giờ,"Nhà biệt thự, liền kề tại Vinhomes Green Paradise",,,False,False,False,False,False,,False,False,True,,2026-05-29 11:02:38,can_ho_hcm
44916602,https://batdongsan.com.vn/ban-can-ho-chung-cu-the-gio-riverside-phuong-dong-hoa-sg-tp-ho-chi-minh/nhanh-keo-het-hang-doc-quyen-cdt-an-gia-view-xin-ck-cao-lh-ngay-pr44916602,25/05/2026,Tin VIP Kim Cương,False,Ca Văn Sỹ,"Nhanh sắp hết! Độc quyền giỏ hàng CĐT An Gia - CK 25,5% + xe Vespa + 50tr - LH ngay0902 999 ***",,2490.0,37.9573,65.6,,,2.0,2.0,,,,,,,"Hồ Chí Minh, Đông Hòa, Căn hộ chung cư tại The Gió Riverside",,Hồ Chí Minh,Đông Hòa,Căn hộ chung cư tại The Gió Riverside,Hợp đồng mua bán,Đầy đủ.,False,True,False,False,False,,True,False,True,,2026-05-29 11:03:09,can_ho_hcm
