post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
,https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-nhanh-can-ho-my-khanh-4-phu-my-hung-id22743022,,,,,"Bán nhanh căn hộ mỹ khánh 4, phú mỹ hưng - Mogi.vn",,9500,80.5085,118,,,3,2,,,,,,,"Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",,Phường Tân Phong,Quận 7,TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-1/mua-can-ho-chung-cu/ban-can-ho-toa-nha-mat-tien-nguyen-hue-phuong-sai-gon-quan-1-tphcm-id22683919,,,,,"Bán căn hộ, tòa nhà mặt tiền Nguyễn Huệ, phường Sài Gòn (Quận 1) TPHCM - Mogi.vn",,90000,1525.4237,59,,,2,2,,,,,,,"Nguyễn Huệ, Phường Bến Nghé, Quận 1, TPHCM",,Phường Bến Nghé,Quận 1,TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-1/mua-can-ho-chung-cu/gap-ban-nha-dat-can-ho-mat-tien-phuong-sai-gon-quan-1-cu-tphcm-id22683918,,,,,"Gấp bán nhà đất, căn hộ mặt tiền phường Sài Gòn (Quận 1 cũ) TPHCM - Mogi.vn",,140000,1458.3333,96,,,3,1,,,,,,,"Lê Lợi, Phường Bến Nghé, Quận 1, TPHCM",,Phường Bến Nghé,Quận 1,TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-can-ho-cao-cap-riverpark-residence-p-tan-phong-quan-7-id22671862,,,,,"Bán căn hộ cao cấp Riverpark Residence, P. Tân Phong, Quận 7, - Mogi.vn",,15300,1176.9231,13,,,3,2,,,,,,,"Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, TPHCM",,Phường Tân Phong,Quận 7,TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-can-ho-scenic-valley-phu-my-hung-quan-7-110m2-3pn-2wc-gia-tot-de-o-id22716162,,,,,BÁN CĂN HỘ SCENIC VALLEY Phú Mỹ Hưng Quận 7 110m2 3PN 2WC giá tốt để ở - Mogi.vn,,9500,950,10,,,3,2,,,,,,,"Nguyễn Văn Linh, Phường Tân Phú, Quận 7, TPHCM",,Phường Tân Phú,Quận 7,TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-nhanh-happy-premier-pmh-q7-dt-170m2-id22368763,,,,,"Bán nhanh, Happy Premier, PMH, Q7 dt 170m2 - Mogi.vn",,15000,882.3529,17,,,3,3,,,,,,,"Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",,Phường Tân Phong,Quận 7,TPHCM,Hợp đồng mua bán,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-2/mua-can-ho-chung-cu/ban-can-sarica-block-a-sala-vi-tri-sieu-dac-dia-id22707502,,,,,"🔥 💥💥 🍀 BÁN CĂN SARICA – BLOCK A, SALA - Vị trí siêu đắc địa - Mogi.vn",,77000,785.7143,98,,,3,2,,,,,,,"Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2 (TP. Thủ Đức), TPHCM",,Phường An Lợi Đông,Quận 2 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-2/mua-can-ho-chung-cu/ban-can-sarica-block-a-sala-vi-tri-sieu-dac-dia-id22707253,,,,,"🔥 💥💥 🍀 BÁN CĂN SARICA – BLOCK A, SALA - Vị trí siêu đắc địa - Mogi.vn",,77000,785.7143,98,,,3,2,,,,,,,"Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2 (TP. Thủ Đức), TPHCM",,Phường An Lợi Đông,Quận 2 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-2/mua-can-ho-chung-cu/ban-can-sarina-sala-vi-tri-trung-tam-khu-do-thi-sala-id22707500,,,,,🔥 💥 🍀 BÁN CĂN SARINA - SALA - Vị trí trung tâm khu đô thị Sala - Mogi.vn,,57000,750,76,,,2,2,,,,,,,"Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",,Phường Thủ Thiêm,Quận 2 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-2/mua-can-ho-chung-cu/ban-can-sarina-sala-vi-tri-trung-tam-khu-do-thi-sala-id22707249,,,,,🔥 💥 🍀 BÁN CĂN SARINA - SALA - Vị trí trung tâm khu đô thị Sala - Mogi.vn,,57000,750,76,,,2,2,,,,,,,"Mai Chí Thọ, Phường Thủ Thiêm, Quận 2 (TP. Thủ Đức), TPHCM",,Phường Thủ Thiêm,Quận 2 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-7/mua-can-ho-chung-cu/ban-nhanh-happy-valley-pmh-q7-dt-81m2-vi-tri-thoang-mat-id22627263,,,,,"Bán nhanh, Happy valley PMH, Q7 dt 81m2 vị trí thoáng mát - Mogi.vn",,55000,679.0123,81,,,2,2,,,,,,,"Nguyễn Văn Linh, Phường Tân Phong, Quận 7, TPHCM",,Phường Tân Phong,Quận 7,TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-1/mua-can-ho-chung-cu/ban-can-ho-cao-cap-vincom-dong-khoi-quan-1-190m2-noi-that-hang-sang-id22651127,,,,,"Bán căn hộ cao cấp Vincom Đồng Khởi, Quận 1, 190m2 nội thất hạng sang - Mogi.vn",,45000,500,90,,,3,3,,,,,,,"Lê Thánh Tôn, Phường Bến Nghé, Quận 1, TPHCM",,Phường Bến Nghé,Quận 1,TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
