post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
,https://nhadat.cafeland.vn/can-sang-nhuong-can-ho-conic-full-noi-tha-2pn-2wc-86m2-mat-tien-huynh-ba-chanh-2827290.html,,,,,Cần sang nhương căn hộ Conic Full nội thấ 2pn 2wc 86m2 mặt tiền Huỳnh Bá Chánh,,3000.0,34.8837,86.0,,,2,,,,,,,,"tp. hồ chí minh chào kiều phương thảo, tôi quan tâm tới tài sản “26052827290, cần sang nhương căn hộ conic full nội thấ 2pn 2wc 86m2 mặt tiền huỳnh bá chánh” của bạn. vui lòng liên hệ với tôi qua thông tin trên. cám ơn bạn! gửi liên hệ zalo bất động sản tương tự uy tín 7 cần sang nhương căn hộ conic full nội thấ 2pn 2wc 86m2 mặt tiền huỳnh bá chánh 3 tỷ 150 triệu / 86m2 bình chánh",,tp. hồ chí minh chào kiều phương thảo,tôi quan tâm tới tài sản “26052827290,cần sang nhương căn hộ conic full nội thấ 2pn 2wc 86m2 mặt tiền huỳnh bá chánh” của bạn. vui lòng liên hệ với tôi qua thông tin trên. cám ơn bạn! gửi liên hệ zalo bất động sản tương tự uy tín 7 cần sang nhương căn hộ conic full nội thấ 2pn 2wc 86m2 mặt tiền huỳnh bá chánh 3 tỷ 150 triệu / 86m2 bình chánh,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/kiet-tac-ben-song-vi-the-dan-dau-mang-ten-the-opera-residence-2284558.html,,,,,KIỆT TÁC BÊN SÔNG – VỊ THẾ DẪN ĐẦU mang tên The Opera Residence,,20000.0,285.7143,70.0,,,,,,,,,,,"an lợi đông, quận 2, tp. hồ chí minh chào mr.lộc",,an lợi đông,quận 2,tp. hồ chí minh chào mr.lộc,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/can-ho-saint-mary-light-40m2-1pn-gia-112-ty-noi-that-day-du-2720603.html,,,,,"Căn hộ Saint Mary Light 40m2 1PN giá 1,12 tỷ, nội thất đầy đủ",,1000.0,,,,,1,,,,,,,,"nguyễn kiệm, tp hồ chí minh chào thanh thủy, tôi quan tâm tới tài sản “26052720603",,nguyễn kiệm,tp hồ chí minh chào thanh thủy,tôi quan tâm tới tài sản “26052720603,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/hot-ban-can-ho-bcons-polygon-2pn-2wc-54m2-so-hong-rieng-gia-236-ty-2557629.html,,,,,"Hot bán căn hộ Bcons Polygon 2PN 2WC 54m2 sổ hồng riêng giá 2,36 tỷ",,2000.0,,,,,2,,,,,,,,"nguyễn kiệm, tp hồ chí minh chào phương nhi, tôi quan tâm tới tài sản “26052557629",,nguyễn kiệm,tp hồ chí minh chào phương nhi,tôi quan tâm tới tài sản “26052557629,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/tho-dia-thu-thiem-nam-ro-hang-moi-nhat-042026-hop-tac-ace-sale-vui-ve-thong-tin-nhanh-le-2557553.html,,,,,Thổ địa Thủ Thiêm - Nắm rổ hàng mới nhất 04/2026 - Hợp tác A/CE sale vui vẻ - thông tin nhanh lẹ,,24000.0,,,,,2,,,,,,,,"nguyễn kiệm, tp hồ chí minh chào anh hiếu, tôi quan tâm tới tài sản “26052557553",,nguyễn kiệm,tp hồ chí minh chào anh hiếu,tôi quan tâm tới tài sản “26052557553,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/so-huu-can-a-16-02-toa-a-758m2-tim-tuong-gia-952-ty-2830410.html,,,,,"Sở hữu căn A-16-02 tòa A, 75.8m² tim tường, giá 9,52 tỷ",,9000.0,,,,,2,,,,,,,,"nguyễn kiệm, tp hồ chí minh chào rose, tôi quan tâm tới tài sản “26062830410",,nguyễn kiệm,tp hồ chí minh chào rose,tôi quan tâm tới tài sản “26062830410,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/so-huu-a1-22-06-masteri-park-place-dien-tich-727m2-gia-tu-1085-ty-thuan-tien-ve-trung-tam-quan-1-2830353.html,,,,,"Sở hữu A1-22-06 Masteri Park Place, diện tích 72.7m2, giá từ 10.85 tỷ, thuận tiện về trung tâm Quận 1",,10000.0,,,,,2,,,,,,,,"nguyễn kiệm, tp hồ chí minh chào serena, tôi quan tâm tới tài sản “26062830353",,nguyễn kiệm,tp hồ chí minh chào serena,tôi quan tâm tới tài sản “26062830353,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/ban-gio-hang-10-can-officetel-golden-king-phu-my-hung-dt-35m2-70m2-2280549.html,,,,,"Bán giỏ hàng 10 căn Officetel Golden King - Phú Mỹ Hưng, DT 35m2 - 70m2",,2000.0,55.5556,36.0,,,,,,,,,,,"gò vấp, tp. hồ chí minh chào lê thùy dung, tôi quan tâm tới tài sản “25092280549",,gò vấp,tp. hồ chí minh chào lê thùy dung,tôi quan tâm tới tài sản “25092280549,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/ban-can-ho-the-opera-2-pn-81-m2-nha-moi-chua-qua-su-dung-2278120.html,,,,,BÁN CĂN HỘ THE OPERA 2 PN 81 M2 - NHÀ MỚI CHƯA QUA SỬ DỤNG,,26000.0,320.9877,81.0,,,2,,,,,,,,"an lợi đông, quận 2, tp. hồ chí minh chào mr.lộc",,an lợi đông,quận 2,tp. hồ chí minh chào mr.lộc,,,,,,,,,,,,,,cafeland.vn
,https://nhadat.cafeland.vn/ban-can-ta-10-a1-04-block-a1-tang-10-orchard-collection-3-phong-ngu-2491178.html,,,,,Bán căn TA-10-A1-04 block A1 tầng 10 Orchard Collection 3 phòng ngủ,,,,,,,3,,,,,,,,"nguyễn kiệm, tp hồ chí minh chào duy thanh, tôi quan tâm tới tài sản “26042491178",,nguyễn kiệm,tp hồ chí minh chào duy thanh,tôi quan tâm tới tài sản “26042491178,,,,,,,,,,,,,,cafeland.vn
