post_id,url,post_date,post_type,is_urgent,seller_type,property_type,project_name,price,price_per_m2,area,area_used,floors,bedrooms,bathrooms,frontage,acces_road,house_direction,balcony_direction,floors_apartment,year_built,address_full,street,ward,district,city,legal_status,furniture_state,has_garage,has_pool,has_elevator,has_security,has_parking,management_fee,has_swimming_pool,has_gym,has_supermarket,building_density,crawled_at,source
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-can-2pn-bep-rem-da-co-so-gia-1ty280-btp-lh-vy-xem-nha-id22742788,,,,,Bán căn 2PN Bếp rèm đã có sổ Giá 1tỷ280( BTP) LH Vy xem nhà - Mogi.vn,,1000.0,16.9492,59.0,,,2,2,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-can-2pn-2wc-can-goc-full-noi-that-gia-1ty440-btp-lh-vy-xem-id22742787,,,,,Bán căn 2PN+2WC( Căn góc) Full nội thất Giá : 1tỷ440 (BTP) LH Vy xem - Mogi.vn,,1000.0,16.2866,61.4,,,2,2,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-can-2pn-full-noi-that-view-thoang-gia-1ty290-btp-lh-vy-xem-nha-id22742786,,,,,Bán căn 2PN Full nội thất view thoáng Giá 1tỷ290(BTP) LH Vy xem nhà - Mogi.vn,,1000.0,15.2672,65.5,,,2,2,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-1pn-dien-tich-lon-gia-945tr-btp-lh-vy-xem-nha-id22742784,,,,,Bán 1PN+ Diện tích lớn giá 945tr (BTP) LH Vy xem nhà - Mogi.vn,,945.0,20.0637,47.1,,,1,1,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-can-1pn-full-noi-that-925tr-btp-view-truc-dien-ho-boi-huong-ma-id22742783,,,,,"Bán căn 1PN+ Full nội thất 925tr (BTP) view trực diện hồ bơi, hướng má - Mogi.vn",,925.0,19.6809,47.0,,,1,1,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-can-2pn-full-noi-that-gia-1ty275-btp-lh-vy-xem-nha-id22742782,,,,,Bán căn 2PN Full Nội thất giá 1tỷ275(BTP) LH Vy xem nhà - Mogi.vn,,1000.0,14.9254,67.0,,,2,2,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-nhanh-1pn-co-so-gia-960tr-btp-lh-vy-xem-nha-id22742780,,,,,Bán nhanh 1PN+ Có sổ giá 960tr (BTP) LH Vy xem nhà - Mogi.vn,,960.0,26.6667,36.0,,,1,1,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-2pn2wc-full-noi-that-san-so-view-thoang-ori-gia-1ty080-btp-lh-v-id22742779,,,,,"Bán 2PN2WC full nội thất, Sẵn sổ. View thoáng. ORI Giá 1ty080 BTP LH:V - Mogi.vn",,1000.0,14.8368,67.4,,,2,2,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-2pn2wc-67m2-full-noi-that-gia-1ty285-btp-lh-vy-xem-nha-id22742776,,,,,Bán 2PN2WC(67m2) Full nội thất giá 1tỷ285(BTP) LH Vy xem nhà - Mogi.vn,,1000.0,14.9254,67.0,,,2,2,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
,https://mogi.vn/quan-9/mua-can-ho-chung-cu/ban-can-2pn-full-noi-that-gia-1ty785-btp-lh-vy-xem-nha-id22742775,,,,,Bán căn 2PN Full nội thất giá 1tỷ785(BTP) LH Vy xem nhà - Mogi.vn,,1000.0,14.4509,69.2,,,2,2,,,,,,,"Nguyễn Xiển, Phường Long Bình, Quận 9 (TP. Thủ Đức), TPHCM",,Phường Long Bình,Quận 9 (TP. Thủ Đức),TPHCM,Sổ hồng,,,,,,,,,,,,,mogi.vn
